PointID1,PointID2,PointID3
51201,51202,51170
51202,51171,51170
51202,51203,51171
51203,51172,51171
51203,51204,51172
51204,51173,51172
51204,51205,51173
51205,51174,51173
51205,51175,51174
51205,51206,51175
51206,51207,51175
51207,51176,51175
51206,51238,51207
51206,51237,51238
51237,51269,51238
51237,51268,51269
51268,51300,51269
51268,51299,51300
51268,51267,51299
51267,51298,51299
51298,51329,51299
51298,51328,51329
51328,51359,51329
51328,51358,51359
51358,51390,51359
51358,51389,51390
51389,51420,51390
51389,51419,51420
51389,51388,51419
51388,51418,51419
51418,51450,51419
51418,51449,51450
51449,51476,51450
51476,51477,51450
51477,51478,51450
51477,51509,51478
51477,51508,51509
51508,51540,51509
51540,51510,51509
51540,51541,51510
51540,51572,51541
51540,51571,51572
51571,51602,51572
51602,51603,51572
51603,51604,51572
51603,51666,51604
51666,51605,51604
51666,51667,51605
51667,51668,51605
51668,51606,51605
51667,51698,51668
51698,51699,51668
51698,51730,51699
51698,51729,51730
51729,51761,51730
51729,51760,51761
51729,51728,51760
51728,51759,51760
51728,51758,51759
51728,51727,51758
51727,51757,51758
51727,51726,51757
51726,51756,51757
51726,51725,51756
51725,51755,51756
51725,51724,51755
51724,51754,51755
51724,51723,51754
51723,51722,51754
51722,51753,51754
51753,51784,51754
51784,51785,51754
51753,51752,51784
51752,51783,51784
51752,51782,51783
51752,51751,51782
51751,51781,51782
51751,51750,51781
51750,51749,51781
51749,51780,51781
51749,51748,51780
51748,51779,51780
51748,51747,51779
51747,51778,51779
51747,51777,51778
51747,51746,51777
51746,51745,51777
51745,51776,51777
51745,51775,51776
51745,51744,51775
51744,51774,51775
51744,51743,51774
51743,51773,51774
51743,51742,51773
51742,51772,51773
51772,51803,51773
51803,51804,51773
51772,51802,51803
51772,51771,51802
51771,51770,51802
51770,51801,51802
51770,51800,51801
51770,51769,51800
51769,51768,51800
51768,51799,51800
51769,51738,51768
51738,51737,51768
51738,51707,51737
51707,51706,51737
51707,51676,51706
51676,51675,51706
51676,51645,51675
51645,51644,51675
51645,51582,51644
51645,51583,51582
51583,51552,51582
51552,51551,51582
51552,51520,51551
51552,51521,51520
51521,51490,51520
51490,51489,51520
51490,51458,51489
51490,51459,51458
51459,51432,51458
51432,51431,51458
51432,51400,51431
51432,51401,51400
51401,51370,51400
51370,51369,51400
51370,51338,51369
51370,51339,51338
51339,51308,51338
51308,51307,51338
51308,51276,51307
51308,51277,51276
51277,51245,51276
51277,51246,51245
51246,51214,51245
51246,51215,51214
51215,51184,51214
51184,51183,51214
51215,51185,51184
51215,51216,51185
51216,51186,51185
51216,51217,51186
51217,51187,51186
51217,51218,51187
51218,51188,51187
51218,51219,51188
51219,51189,51188
51219,51220,51189
51220,51221,51189
51221,51190,51189
51221,51222,51190
51222,51191,51190
51222,51223,51191
51223,51192,51191
51223,51224,51192
51224,51193,51192
51224,51194,51193
51194,51163,51193
51194,51195,51163
51195,51164,51163
51195,51196,51164
51196,51165,51164
51196,51197,51165
51197,51166,51165
51196,51228,51197
51228,51198,51197
51228,51229,51198
51229,51199,51198
51229,51230,51199
51230,51231,51199
51231,51200,51199
51231,51232,51200
51232,51201,51200
51232,51233,51201
51233,51202,51201
51233,51203,51202
51233,51234,51203
51234,51204,51203
51234,51235,51204
51235,51205,51204
51235,51236,51205
51236,51237,51205
51237,51206,51205
51236,51267,51237
51267,51268,51237
51236,51266,51267
51266,51298,51267
51266,51297,51298
51297,51328,51298
51297,51296,51328
51296,51327,51328
51327,51358,51328
51327,51326,51358
51326,51357,51358
51357,51389,51358
51357,51388,51389
51357,51356,51388
51356,51387,51388
51387,51418,51388
51387,51417,51418
51417,51448,51418
51448,51449,51418
51448,51476,51449
51448,51475,51476
51475,51506,51476
51506,51507,51476
51507,51477,51476
51507,51508,51477
51507,51538,51508
51538,51539,51508
51539,51540,51508
51539,51571,51540
51539,51570,51571
51570,51602,51571
51570,51601,51602
51601,51663,51602
51663,51664,51602
51664,51603,51602
51664,51665,51603
51665,51666,51603
51665,51697,51666
51697,51667,51666
51697,51698,51667
51697,51729,51698
51697,51728,51729
51697,51696,51728
51696,51727,51728
51696,51726,51727
51696,51695,51726
51695,51694,51726
51694,51725,51726
51694,51693,51725
51693,51724,51725
51693,51723,51724
51693,51692,51723
51692,51691,51723
51691,51722,51723
51691,51690,51722
51690,51721,51722
51721,51753,51722
51721,51752,51753
51721,51720,51752
51720,51751,51752
51720,51719,51751
51719,51750,51751
51719,51718,51750
51718,51749,51750
51718,51748,51749
51718,51717,51748
51717,51716,51748
51716,51747,51748
51716,51715,51747
51715,51746,51747
51715,51745,51746
51715,51714,51745
51714,51744,51745
51714,51713,51744
51713,51743,51744
51713,51712,51743
51712,51711,51743
51711,51742,51743
51711,51710,51742
51710,51741,51742
51741,51772,51742
51741,51771,51772
51741,51740,51771
51740,51770,51771
51740,51739,51770
51739,51769,51770
51739,51738,51769
51739,51707,51738
51739,51708,51707
51708,51676,51707
51708,51677,51676
51677,51645,51676
51677,51646,51645
51646,51583,51645
51646,51584,51583
51584,51552,51583
51584,51553,51552
51553,51521,51552
51553,51522,51521
51522,51490,51521
51522,51491,51490
51491,51459,51490
51491,51460,51459
51460,51433,51459
51433,51432,51459
51433,51401,51432
51433,51402,51401
51402,51371,51401
51371,51370,51401
51371,51339,51370
51371,51340,51339
51340,51308,51339
51340,51309,51308
51309,51278,51308
51278,51277,51308
51278,51246,51277
51278,51247,51246
51247,51215,51246
51247,51216,51215
51247,51248,51216
51248,51217,51216
51248,51249,51217
51249,51218,51217
51249,51219,51218
51249,51250,51219
51250,51251,51219
51251,51220,51219
51251,51252,51220
51252,51221,51220
51252,51222,51221
51252,51253,51222
51253,51254,51222
51254,51223,51222
